Email Text,Email Type
"Dear Jordan, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email
"Dear Casey, thank you for your purchase. Your order will be shipped soon.",Safe Email
Congratulations! You've won a $3000 gift card. Click here to claim your prize.,Phishing Email
You have a new secure message from your bank. Click here to read it.,Phishing Email
Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
"Hi Drew, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email
Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
"Hi Alex, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email
Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
"Hello Alex, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
"Dear John, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email
"Dear Sam, thank you for your purchase. Your order will be shipped soon.",Safe Email
"Hi Morgan, please find the attached report for this month's performance review.",Safe Email
"Hi Casey, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
"Hi John, please find the attached report for this month's performance review.",Safe Email
Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email
Reminder: Our meeting is scheduled for tomorrow at 10 AM. Please be prepared with your updates.,Safe Email
Important: Update your email account settings to avoid service interruption.,Phishing Email
You have a new secure message from your bank. Click here to read it.,Phishing Email
Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email
Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
"Dear Jane, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
"Hi Jordan, please find the attached report for this month's performance review.",Safe Email
Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email
"Dear Jane, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email
"Hi Taylor, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
"Dear Alex, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
Reminder: Our meeting is scheduled for tomorrow at 4 PM. Please be prepared with your updates.,Safe Email
